t,delta,omega,delta_dev,omega_dev
0,0.779728,1,0.05,0
0.001,0.779727,0.999998,0.0499997,-1.74637e-06
0.002,0.779727,0.999997,0.0499989,-3.48923e-06
0.003,0.779725,0.999995,0.0499975,-5.22857e-06
0.004,0.779723,0.999993,0.0499956,-6.96437e-06
0.005,0.779721,0.999991,0.0499932,-8.69664e-06
0.006,0.779718,0.99999,0.0499902,-1.04254e-05
0.007,0.779714,0.999988,0.0499866,-1.21505e-05
0.008,0.77971,0.999986,0.0499825,-1.38721e-05
0.009,0.779706,0.999984,0.0499779,-1.559e-05
0.01,0.7797,0.999983,0.0499727,-1.73044e-05
0.011,0.779695,0.999981,0.049967,-1.90152e-05
0.012,0.779688,0.999979,0.0499608,-2.07223e-05
0.013,0.779682,0.999978,0.049954,-2.24259e-05
0.014,0.779674,0.999976,0.0499467,-2.41257e-05
0.015,0.779666,0.999974,0.0499388,-2.58219e-05
0.016,0.779658,0.999972,0.0499305,-2.75145e-05
0.017,0.779649,0.999971,0.0499216,-2.92034e-05
0.018,0.77964,0.999969,0.0499121,-3.08886e-05
0.019,0.77963,0.999967,0.0499021,-3.25701e-05
0.02,0.779619,0.999966,0.0498917,-3.42478e-05
0.021,0.779608,0.999964,0.0498806,-3.59219e-05
0.022,0.779597,0.999962,0.0498691,-3.75922e-05
0.023,0.779585,0.999961,0.049857,-3.92588e-05
0.024,0.779572,0.999959,0.0498444,-4.09217e-05
0.025,0.779559,0.999957,0.0498313,-4.25807e-05
0.026,0.779545,0.999956,0.0498177,-4.42361e-05
0.027,0.779531,0.999954,0.0498035,-4.58876e-05
0.028,0.779516,0.999952,0.0497888,-4.75353e-05
0.029,0.779501,0.999951,0.0497736,-4.91793e-05
0.03,0.779486,0.999949,0.0497579,-5.08194e-05
0.031,0.779469,0.999948,0.0497417,-5.24557e-05
0.032,0.779453,0.999946,0.049725,-5.40881e-05
0.033,0.779435,0.999944,0.0497077,-5.57168e-05
0.034,0.779418,0.999943,0.04969,-5.73416e-05
0.035,0.779399,0.999941,0.0496717,-5.89625e-05
0.036,0.779381,0.999939,0.0496529,-6.05795e-05
0.037,0.779361,0.999938,0.0496336,-6.21927e-05
0.038,0.779341,0.999936,0.0496138,-6.3802e-05
0.039,0.779321,0.999935,0.0495935,-6.54073e-05
0.04,0.7793,0.999933,0.0495727,-6.70088e-05
0.041,0.779279,0.999931,0.0495514,-6.86064e-05
0.042,0.779257,0.99993,0.0495296,-7.02e-05
0.043,0.779235,0.999928,0.0495073,-7.17897e-05
0.044,0.779212,0.999927,0.0494845,-7.33754e-05
0.045,0.779189,0.999925,0.0494612,-7.49572e-05
0.046,0.779165,0.999923,0.0494374,-7.6535e-05
0.047,0.779141,0.999922,0.0494131,-7.81089e-05
0.048,0.779116,0.99992,0.0493884,-7.96788e-05
0.049,0.779091,0.999919,0.0493631,-8.12446e-05
0.05,0.779065,0.999917,0.0493373,-8.28065e-05
0.051,0.779039,0.999916,0.0493111,-8.43644e-05
0.052,0.779012,0.999914,0.0492843,-8.59182e-05
0.053,0.778985,0.999913,0.0492571,-8.74681e-05
0.054,0.778957,0.999911,0.0492293,-8.90139e-05
0.055,0.778929,0.999909,0.0492011,-9.05556e-05
0.056,0.7789,0.999908,0.0491724,-9.20933e-05
0.057,0.778871,0.999906,0.0491433,-9.3627e-05
0.058,0.778841,0.999905,0.0491136,-9.51565e-05
0.059,0.778811,0.999903,0.0490835,-9.6682e-05
0.06,0.778781,0.999902,0.0490529,-9.82034e-05
0.061,0.778749,0.9999,0.0490218,-9.97208e-05
0.062,0.778718,0.999899,0.0489902,-0.000101234
0.063,0.778686,0.999897,0.0489582,-0.000102743
0.064,0.778653,0.999896,0.0489257,-0.000104248
0.065,0.77862,0.999894,0.0488927,-0.000105749
0.066,0.778587,0.999893,0.0488592,-0.000107246
0.067,0.778553,0.999891,0.0488253,-0.000108738
0.068,0.778519,0.99989,0.0487909,-0.000110227
0.069,0.778484,0.999888,0.048756,-0.000111711
0.07,0.778448,0.999887,0.0487207,-0.000113191
0.071,0.778413,0.999885,0.0486849,-0.000114667
0.072,0.778376,0.999884,0.0486487,-0.000116139
0.073,0.77834,0.999882,0.0486119,-0.000117606
0.074,0.778302,0.999881,0.0485748,-0.00011907
0.075,0.778265,0.999879,0.0485371,-0.000120529
0.076,0.778227,0.999878,0.048499,-0.000121984
0.077,0.778188,0.999877,0.0484605,-0.000123435
0.078,0.778149,0.999875,0.0484215,-0.000124881
0.079,0.77811,0.999874,0.048382,-0.000126324
0.08,0.77807,0.999872,0.0483421,-0.000127762
0.081,0.778029,0.999871,0.0483017,-0.000129196
0.082,0.777989,0.999869,0.0482609,-0.000130625
0.083,0.777947,0.999868,0.0482197,-0.00013205
0.084,0.777906,0.999867,0.048178,-0.000133472
0.085,0.777863,0.999865,0.0481358,-0.000134888
0.086,0.777821,0.999864,0.0480932,-0.000136301
0.087,0.777778,0.999862,0.0480502,-0.000137709
0.088,0.777734,0.999861,0.0480067,-0.000139113
0.089,0.77769,0.999859,0.0479628,-0.000140513
0.09,0.777646,0.999858,0.0479184,-0.000141908
0.091,0.777601,0.999857,0.0478736,-0.000143299
0.092,0.777556,0.999855,0.0478284,-0.000144686
0.093,0.77751,0.999854,0.0477827,-0.000146068
0.094,0.777464,0.999853,0.0477366,-0.000147446
0.095,0.777418,0.999851,0.0476901,-0.00014882
0.096,0.777371,0.99985,0.0476431,-0.000150189
0.097,0.777323,0.999848,0.0475957,-0.000151554
0.098,0.777276,0.999847,0.0475479,-0.000152915
0.099,0.777227,0.999846,0.0474996,-0.000154271
0.1,0.777179,0.999844,0.0474509,-0.000155623
0.101,0.777129,0.999843,0.0474018,-0.000156971
0.102,0.77708,0.999842,0.0473523,-0.000158314
0.103,0.77703,0.99984,0.0473024,-0.000159653
0.104,0.77698,0.999839,0.047252,-0.000160987
0.105,0.776929,0.999838,0.0472012,-0.000162317
0.106,0.776878,0.999836,0.04715,-0.000163643
0.107,0.776826,0.999835,0.0470984,-0.000164964
0.108,0.776774,0.999834,0.0470464,-0.000166281
0.109,0.776722,0.999832,0.0469939,-0.000167593
0.11,0.776669,0.999831,0.0469411,-0.000168901
0.111,0.776615,0.99983,0.0468878,-0.000170205
0.112,0.776562,0.999828,0.0468341,-0.000171504
0.113,0.776508,0.999827,0.04678,-0.000172798
0.114,0.776453,0.999826,0.0467255,-0.000174089
0.115,0.776398,0.999825,0.0466706,-0.000175374
0.116,0.776343,0.999823,0.0466153,-0.000176656
0.117,0.776287,0.999822,0.0465596,-0.000177933
0.118,0.776231,0.999821,0.0465035,-0.000179205
0.119,0.776175,0.99982,0.0464471,-0.000180473
0.12,0.776118,0.999818,0.0463902,-0.000181736
0.121,0.776061,0.999817,0.0463329,-0.000182995
0.122,0.776003,0.999816,0.0462752,-0.00018425
0.123,0.775945,0.999815,0.0462171,-0.0001855
0.124,0.775886,0.999813,0.0461586,-0.000186745
0.125,0.775827,0.999812,0.0460998,-0.000187986
0.126,0.775768,0.999811,0.0460405,-0.000189223
0.127,0.775709,0.99981,0.0459809,-0.000190455
0.128,0.775648,0.999808,0.0459208,-0.000191682
0.129,0.775588,0.999807,0.0458604,-0.000192905
0.13,0.775527,0.999806,0.0457996,-0.000194124
0.131,0.775466,0.999805,0.0457385,-0.000195338
0.132,0.775405,0.999803,0.0456769,-0.000196547
0.133,0.775343,0.999802,0.045615,-0.000197752
0.134,0.77528,0.999801,0.0455527,-0.000198952
0.135,0.775218,0.9998,0.04549,-0.000200148
0.136,0.775155,0.999799,0.0454269,-0.000201339
0.137,0.775091,0.999797,0.0453635,-0.000202526
0.138,0.775027,0.999796,0.0452996,-0.000203708
0.139,0.774963,0.999795,0.0452355,-0.000204886
0.14,0.774899,0.999794,0.0451709,-0.000206059
0.141,0.774834,0.999793,0.045106,-0.000207227
0.142,0.774768,0.999792,0.0450407,-0.000208391
0.143,0.774703,0.99979,0.0449751,-0.000209551
0.144,0.774637,0.999789,0.044909,-0.000210706
0.145,0.77457,0.999788,0.0448427,-0.000211856
0.146,0.774504,0.999787,0.0447759,-0.000213001
0.147,0.774436,0.999786,0.0447088,-0.000214142
0.148,0.774369,0.999785,0.0446414,-0.000215279
0.149,0.774301,0.999784,0.0445736,-0.000216411
0.15,0.774233,0.999782,0.0445054,-0.000217538
0.151,0.774165,0.999781,0.0444369,-0.000218661
0.152,0.774096,0.99978,0.044368,-0.000219779
0.153,0.774026,0.999779,0.0442988,-0.000220892
0.154,0.773957,0.999778,0.0442292,-0.000222001
0.155,0.773887,0.999777,0.0441593,-0.000223105
0.156,0.773817,0.999776,0.044089,-0.000224205
0.157,0.773746,0.999775,0.0440184,-0.0002253
0.158,0.773675,0.999774,0.0439475,-0.000226391
0.159,0.773604,0.999773,0.0438762,-0.000227476
0.16,0.773532,0.999771,0.0438046,-0.000228558
0.161,0.77346,0.99977,0.0437326,-0.000229634
0.162,0.773388,0.999769,0.0436603,-0.000230706
0.163,0.773315,0.999768,0.0435876,-0.000231773
0.164,0.773242,0.999767,0.0435147,-0.000232836
0.165,0.773169,0.999766,0.0434413,-0.000233894
0.166,0.773095,0.999765,0.0433677,-0.000234948
0.167,0.773021,0.999764,0.0432937,-0.000235996
0.168,0.772947,0.999763,0.0432194,-0.000237041
0.169,0.772872,0.999762,0.0431448,-0.00023808
0.17,0.772797,0.999761,0.0430698,-0.000239115
0.171,0.772722,0.99976,0.0429945,-0.000240145
0.172,0.772647,0.999759,0.0429189,-0.000241171
0.173,0.772571,0.999758,0.042843,-0.000242192
0.174,0.772494,0.999757,0.0427668,-0.000243208
0.175,0.772418,0.999756,0.0426902,-0.000244219
0.176,0.772341,0.999755,0.0426133,-0.000245226
0.177,0.772264,0.999754,0.0425361,-0.000246229
0.178,0.772186,0.999753,0.0424586,-0.000247226
0.179,0.772108,0.999752,0.0423808,-0.000248219
0.18,0.77203,0.999751,0.0423026,-0.000249208
0.181,0.771952,0.99975,0.0422242,-0.000250191
0.182,0.771873,0.999749,0.0421454,-0.00025117
0.183,0.771794,0.999748,0.0420664,-0.000252144
0.184,0.771715,0.999747,0.041987,-0.000253114
0.185,0.771635,0.999746,0.0419073,-0.000254079
0.186,0.771555,0.999745,0.0418274,-0.000255039
0.187,0.771475,0.999744,0.0417471,-0.000255995
